标题,播放,评论,回馈率（‰）
中俄深化合作后，美国马上增加对乌军援，对策核心是和中国抢台词,43000.0,241.0,5.604651162790698
泰国政府VS中国网红，谁在说谎，最担心的事还是发生了,102000.0,4831.0,47.36274509803921
这个“全网最冷门专业”到底有多“冷”？,66000.0,54.0,0.8181818181818181
5名央企领导人员被查！,25000.0,20.0,0.8
教育部等五部门：禁止中小学校举办或参与举办培训机构,43000.0,21.0,0.4883720930232558
中方提出帮俄实现振兴，普京：满足中国能源需求，帮中企取代西企,212000.0,322.0,1.5188679245283019
“无能为力了！”捷克总统表示：援乌已到极限，没有劳动力生产武器,4598.0,5.0,1.087429317094389
烈士牺牲40年，战友不间断代其看望父亲“我们都是您的儿子”,27000.0,13.0,0.4814814814814815
泽连斯基想和中方谈谈，美国表示反对：不能让中国调停俄乌冲突,108000.0,70.0,0.6481481481481481
秦刚：中国式现代化一不靠战争二不靠殖民三不靠掠夺,236000.0,2423.0,10.266949152542374
中俄元首会晤，2条线10项合作，普京态度大转变！美2高官将访华,173000.0,508.0,2.9364161849710984
我国两栖爬行动物又添新物种，来自云南19个新成员曝光,6849.0,8.0,1.1680537304716017
美国妄想中国做它的跟班，赖岳谦：中国人几千年来从来不当跟班,177000.0,169.0,0.9548022598870056
孙笑川回应因孙笑川吧被网友攻击 ：人在家中坐，锅从天上来,130000.0,234.0,1.8
李大钊生前唯一活动影像彩色修复,556000.0,3463.0,6.2284172661870505
用生命兑现誓言！汶川地震获救男孩扑救湖南山火牺牲,104000.0,208.0,2.0
【全国爱耳日】勤掏耳朵是好习惯吗？,279000.0,263.0,0.942652329749104
独家揭秘军人勋表生产监督一线！,3433.0,3.0,0.8738712496358869
凶多吉少，tiktok不被禁，得帮美国军工直播带货,61000.0,414.0,6.786885245901639
浪漫！40秒看天宇上演“星月神话”：金星被月亮暗边缘慢慢掩盖,721.0,1.0,1.3869625520110958
大金融大科技为保国家安全？中美对抗难避免，中国不能重蹈俄覆辙,33000.0,45.0,1.3636363636363638
【相对论】90后用AR眼镜装配中国空间站,43000.0,35.0,0.813953488372093
四月为爱奔赴洛阳！赏牡丹+听汪峰唱歌，感受音乐与视觉的冲击！,7666.0,5.0,0.6522306287503261
乌士兵致电阵亡的俄军士兵母亲：他被炸的尸骨无存，说完哈哈大笑,1323000.0,1469.0,1.1103552532123961
00后女生被上司性骚扰，拒绝未果搜集证据举报：领导道歉，已离职,20000.0,14.0,0.7
汪淼与史强之间的羁绊，都在这一首《1874》,7698.0,13.0,1.6887503247596778
邯郸初三学生被罚站倒地去世完整监控,1108000.0,2113.0,1.9070397111913358
大学生吃火的工地餐：“网红效应”消退，一场热闹之后重归平静,26000.0,6.0,0.23076923076923075
美前议员：美国抹黑中国 在全球四处树敌,42000.0,55.0,1.3095238095238095
我国成功发射试验二十一号卫星,5041.0,14.0,2.7772267407260465
最高奖励1.1亿元 这对夫妻被天价悬赏！曾是“黑龙江首富”“东北药王”,3131.0,2.0,0.6387735547748323
珍贵影像！高清修复《义勇军进行曲》首次公开唱响,1199000.0,4167.0,3.4753961634695583
“如果你不喜欢中国的和平方案 你的方案在哪呢？”,95000.0,26.0,0.2736842105263158
普京敢来就逮捕他？德部长响应国际刑事法院决议，朔尔茨又被挖坑,22000.0,70.0,3.181818181818182
人民币狂飙！美联储暗示加息进入尾声，人民币盘中大涨600点,11000.0,5.0,0.45454545454545453
张维为接受俄媒专访：中俄关系为这个不确定的世界注入了确定性！,53000.0,23.0,0.4339622641509434
令人发指！乌军拍视频炫耀：用绞索拉倒女英雄卓娅雕像，摔成两段,2874000.0,9668.0,3.3639526791927628
解放军主战坦克96A碾压路障！,106000.0,283.0,2.6698113207547167
《声生不息·宝岛季》动力火车《娜鲁湾情歌》用歌声传递质朴情谊,767.0,2.0,2.607561929595828
中亚再现乌克兰悲剧？托卡耶夫玩转中美俄三角恋，哈国未来在中国,2057.0,9.0,4.375303840544483
陈母问：我儿战场勇否？答曰：勇冠三军！,1123000.0,3388.0,3.016918967052538
比尔盖茨：美国对中国抱有一种“双输心态”,110000.0,65.0,0.5909090909090909
初三学生被罚站倒地去世 一条能救命的急救方法合集请收藏！,44000.0,29.0,0.6590909090909091
普京脸上的笑容，对布林肯是种刺激，去北京的飞机，想上也没座了,116000.0,430.0,3.706896551724138
挂弹拦截！美军机带CNN记者窜扰南海被解放军战机驱离,34000.0,7.0,0.2058823529411765
联合国大骂四小时：硬核古巴，刚中带“甜”？,1040000.0,3135.0,3.0144230769230766
“约翰牛”给“司机”送礼，泼出去的“挑战者”让英国陆军直喊高血压犯了，败家！,13000.0,31.0,2.3846153846153846
法国大罢工继续！超30万人走上街头，警察冲进示威人群拿警棍暴打,114000.0,80.0,0.7017543859649122
广西大叔一招把酸果变香甜 一年赚百万,38000.0,12.0,0.3157894736842105
“劝降解放军”？台军异想天开！,130000.0,220.0,1.6923076923076923
十四届全国人大一次会议议程公布 共有9项议程,161000.0,31.0,0.19254658385093168
卢旺达阅兵使用中文口令 味道相当纯正！,56000.0,22.0,0.39285714285714285
唐湘龙：斡旋沙伊复交是中国外交的胜利，避免美国在中东策划战争,77000.0,44.0,0.5714285714285715
男孩通宵赶完的作业被狗子全部撕碎 崩溃大哭,105000.0,73.0,0.6952380952380952
川籍华人飞3000公里看丫丫哭了： 希望它好好吃东西，坚持到回国。,241000.0,22.0,0.0912863070539419
非凡这十年,136000.0,2.0,0.014705882352941176
商务部：坚决反对！出售或者剥离TikTok，必须遵照中国法律法规，中国政府将依法作出决定,120000.0,51.0,0.425
台湾出逃狒狒半月仍未抓获 到处趴趴走！,6702.0,5.0,0.7460459564309161
送命题：美在叙基地遭袭 发言人被问到彻底懵圈,302000.0,1335.0,4.420529801324504
梅德韦杰夫称拜登总统为疯癫老头,11000.0,18.0,1.6363636363636362
被夺笋的花花：婉拒了哈~,435000.0,64.0,0.1471264367816092
TikTok CEO回应美议员疑惑为啥TikTok有毒品内容而抖音没有,570000.0,642.0,1.1263157894736842
科技部：让科研人员从非科研事务中解脱出来,29000.0,1.0,0.034482758620689655
要台军上战场，却不给鸡蛋吃，士兵的肚子还是“垃圾处理场”,36000.0,14.0,0.38888888888888884
旅行者荧点上一首《走马》，优菈：“不复刻的这个仇，我记下了”,136000.0,70.0,0.5147058823529412
新疆烤肉小哥的这番话太赞了！我们都是祖国大家庭的一员，我们就是一家人！,158000.0,128.0,0.8101265822784811
燃！新疆牧民策马高举五星红旗为赛车手加油,280000.0,305.0,1.0892857142857142
走说中国 | “不夜城”长沙迎来经济强势复苏,25000.0,86.0,3.44
台湾教授喊话蔡英文“不接受一个中国 大陆跟你有什么可谈”,636000.0,74.0,0.11635220125786164
【追光者】长征路上年龄最小的红军战士，致敬英雄 ！,1267.0,3.0,2.3677979479084454
大学生寝室拍摄玩火视频被消防找到，被问是否认识到错误，他竟说……,345000.0,57.0,0.16521739130434784
“只要飞机不是马上爆炸，就是摔我也得摔到跑道上！”,37000.0,107.0,2.891891891891892
抗议法国退休制度改革|巴黎民众高喊“马克龙，下台！”,17000.0,9.0,0.5294117647058824
红了60年的中国男孩是如何成为全民偶像的？,34000.0,65.0,1.911764705882353
别人家的老师！为给学生鼓励，老师在试卷上订糖果,12000.0,1.0,0.08333333333333333
曾被水手误认为是美人鱼的儒艮，被宣布在中国功能性灭绝,596000.0,407.0,0.6828859060402684
被扔井中小男孩获救画面曝光！众人一拥而上施救,119000.0,37.0,0.31092436974789917
【卢克文工作室】日韩“世纪大和解”始末，尹锡悦投降外交是无奈之举？,1022000.0,3728.0,3.6477495107632096
大陆提协商条件后，台当局公开拒统，扬言效仿乌克兰，国台办回应,60000.0,52.0,0.8666666666666666
美方围剿TikTok会否遭到反噬？专家深入分析,4309.0,2.0,0.4641448131817127
国际刑事法院对普京发出逮捕令 外交部回应,181000.0,21.0,0.11602209944751382
女子亲人去世，请假遭遇老板各种怼：你家亲戚和你有什么关系？,911000.0,1604.0,1.760702524698134
英首相与流浪汉畅聊金融业前景遭怼：我很饿，不想睡大街过圣诞,275000.0,196.0,0.7127272727272728
“癌症我都不怕，还怕你个毒贩不成！”,225000.0,419.0,1.8622222222222222
涨姿势！老师被指侵占学生雕塑  称“动一刀也是新作”,26000.0,31.0,1.1923076923076923
国会老爷一句话，把TikTok CEO整不会了,335000.0,121.0,0.3611940298507463
揭秘瓦格纳集团,33000.0,166.0,5.03030303030303
台媒称解放军军舰过恒春外海 回怼台舰:台湾是中国不可分割一部分,14000.0,11.0,0.7857142857142857
《声生不息·宝岛季》陈立农《暧昧》少年心事随歌声涌动，暧昧心事充斥心房,5266.0,2.0,0.379794910748196
美威逼下，三大国际机构对俄出手，但俄方要的公正，中国给了,1144.0,2.0,1.7482517482517483
【请人民评议】社会各界高度评价公安机关执法规范化建设,17000.0,28.0,1.647058823529412
台海上演紧张对峙，岛内军事学者：解放军在增兵巴士海峡,8784.0,6.0,0.6830601092896175
克里米纳打得不可开交，俄乌空降兵大对决，是真的要空降作战么？,1931.0,1.0,0.5178663904712584
一名中国女博士在加拿大火灾中失踪,93000.0,52.0,0.5591397849462365
秦刚寄望青年提升中国国际话语权：台上“麦霸”太多，杂音噪音不少,184000.0,222.0,1.2065217391304348
送别！“中国预警机之父”王小谟院士逝世,38000.0,855.0,22.5
两年了，我们不会忘记！【清澈的爱，只为中国】,97000.0,220.0,2.268041237113402
转需！这样做可以省点电费~,7194.0,12.0,1.6680567139282736
中国学者加拿大火灾中失踪，亲属：非常优秀 系家中独女,25000.0,14.0,0.5599999999999999
在美华人纷纷到孟菲斯动物园看望丫丫，希望丫丫在回国前吃饱,344000.0,972.0,2.8255813953488373
“报告！发现一枚手榴弹”,44000.0,37.0,0.8409090909090909
《迪迦奥特曼》导演村石宏实去世，网友哀悼：他变成了光,392000.0,2576.0,6.571428571428572
党的二十大报告学习手账,636000.0,45.0,0.07075471698113207
