标题,播放,评论,回馈率（‰）,分词后标题
中俄深化合作后，美国马上增加对乌军援，对策核心是和中国抢台词,43000.0,241.0,5.604651162790698,中 俄 深化 合作 后 ， 美国 马上 增加 对 乌 军援 ， 对策 核心 是 和 中国 抢 台词
泰国政府VS中国网红，谁在说谎，最担心的事还是发生了,102000.0,4831.0,47.36274509803921,泰国政府 VS 中国 网红 ， 谁 在 说谎 ， 最 担心 的 事 还是 发生 了
这个“全网最冷门专业”到底有多“冷”？,66000.0,54.0,0.8181818181818181,这个 “ 全网 最 冷门 专业 ” 到底 有 多 “ 冷 ” ？
5名央企领导人员被查！,25000.0,20.0,0.8,5 名央企 领导人员 被查 ！
教育部等五部门：禁止中小学校举办或参与举办培训机构,43000.0,21.0,0.4883720930232558,教育部 等 五 部门 ： 禁止 中小学校 举办 或 参与 举办 培训 机构
中方提出帮俄实现振兴，普京：满足中国能源需求，帮中企取代西企,212000.0,322.0,1.518867924528302,中方 提出 帮 俄 实现 振兴 ， 普京 ： 满足 中国 能源需求 ， 帮 中企 取代 西企
“无能为力了！”捷克总统表示：援乌已到极限，没有劳动力生产武器,4598.0,5.0,1.087429317094389,“ 无能为力 了 ！ ” 捷克 总统 表示 ： 援乌 已 到 极限 ， 没有 劳动力 生产 武器
烈士牺牲40年，战友不间断代其看望父亲“我们都是您的儿子”,27000.0,13.0,0.4814814814814815,烈士 牺牲 40 年 ， 战友 不间 断代 其 看望 父亲 “ 我们 都 是 您 的 儿子 ”
泽连斯基想和中方谈谈，美国表示反对：不能让中国调停俄乌冲突,108000.0,70.0,0.6481481481481481,泽 连斯基 想 和 中方 谈谈 ， 美国 表示 反对 ： 不能 让 中国 调停 俄乌 冲突
秦刚：中国式现代化一不靠战争二不靠殖民三不靠掠夺,236000.0,2423.0,10.266949152542374,秦刚 ： 中国式 现代化 一 不靠 战争 二 不靠 殖民 三 不靠 掠夺
中俄元首会晤，2条线10项合作，普京态度大转变！美2高官将访华,173000.0,508.0,2.9364161849710984,中 俄 元首 会晤 ， 2 条线 10 项 合作 ， 普京 态度 大 转变 ！ 美 2 高官 将 访华
我国两栖爬行动物又添新物种，来自云南19个新成员曝光,6849.0,8.0,1.1680537304716017,我国 两栖 爬行动物 又 添 新 物种 ， 来自 云南 19 个 新 成员 曝光
美国妄想中国做它的跟班，赖岳谦：中国人几千年来从来不当跟班,177000.0,169.0,0.9548022598870056,美国 妄想 中国 做 它 的 跟班 ， 赖岳谦 ： 中国 人 几千年 来 从来不 当 跟班
孙笑川回应因孙笑川吧被网友攻击 ：人在家中坐，锅从天上来,130000.0,234.0,1.8,孙笑川 回应 因孙笑川 吧 被 网友 攻击   ： 人 在 家中 坐 ， 锅 从 天上 来
李大钊生前唯一活动影像彩色修复,556000.0,3463.0,6.2284172661870505,李大钊 生前 唯一 活动 影像 彩色 修复
用生命兑现誓言！汶川地震获救男孩扑救湖南山火牺牲,104000.0,208.0,2.0,用 生命 兑现 誓言 ！ 汶川 地震 获救 男孩 扑救 湖南 山火 牺牲
【全国爱耳日】勤掏耳朵是好习惯吗？,279000.0,263.0,0.942652329749104,【 全国 爱耳日 】 勤 掏耳朵 是 好 习惯 吗 ？
独家揭秘军人勋表生产监督一线！,3433.0,3.0,0.8738712496358869,独家 揭秘 军人 勋表 生产 监督 一线 ！
凶多吉少，tiktok不被禁，得帮美国军工直播带货,61000.0,414.0,6.786885245901639,凶多吉少 ， tiktok 不 被 禁 ， 得 帮 美国 军工 直播 带货
浪漫！40秒看天宇上演“星月神话”：金星被月亮暗边缘慢慢掩盖,721.0,1.0,1.3869625520110958,浪漫 ！ 40 秒 看 天宇 上演 “ 星月 神话 ” ： 金星 被 月亮 暗 边缘 慢慢 掩盖
大金融大科技为保国家安全？中美对抗难避免，中国不能重蹈俄覆辙,33000.0,45.0,1.3636363636363638,大 金融 大 科技 为保 国家 安全 ？ 中 美 对抗 难 避免 ， 中国 不能 重蹈 俄 覆辙
【相对论】90后用AR眼镜装配中国空间站,43000.0,35.0,0.813953488372093,【 相对论 】 90 后用 AR 眼镜 装配 中国 空间站
四月为爱奔赴洛阳！赏牡丹+听汪峰唱歌，感受音乐与视觉的冲击！,7666.0,5.0,0.6522306287503261,四月 为 爱 奔赴 洛阳 ！ 赏 牡丹 + 听 汪峰 唱歌 ， 感受 音乐 与 视觉 的 冲击 ！
乌士兵致电阵亡的俄军士兵母亲：他被炸的尸骨无存，说完哈哈大笑,1323000.0,1469.0,1.110355253212396,乌 士兵 致电 阵亡 的 俄军 士兵 母亲 ： 他 被 炸 的 尸骨 无存 ， 说完 哈哈大笑
00后女生被上司性骚扰，拒绝未果搜集证据举报：领导道歉，已离职,20000.0,14.0,0.7,00 后 女生 被 上司 性骚扰 ， 拒绝 未果 搜集 证据 举报 ： 领导 道歉 ， 已 离职
汪淼与史强之间的羁绊，都在这一首《1874》,7698.0,13.0,1.6887503247596778,汪淼 与 史强 之间 的 羁绊 ， 都 在 这 一首 《 1874 》
邯郸初三学生被罚站倒地去世完整监控,1108000.0,2113.0,1.907039711191336,邯郸 初三 学生 被 罚站 倒地 去世 完整 监控
大学生吃火的工地餐：“网红效应”消退，一场热闹之后重归平静,26000.0,6.0,0.2307692307692307,大学生 吃 火 的 工地 餐 ： “ 网红 效应 ” 消退 ， 一场 热闹 之后 重归 平静
美前议员：美国抹黑中国 在全球四处树敌,42000.0,55.0,1.3095238095238095,美前 议员 ： 美国 抹黑 中国   在 全球 四处 树敌
我国成功发射试验二十一号卫星,5041.0,14.0,2.7772267407260465,我国 成功 发射 试验 二十一 号 卫星
最高奖励1.1亿元 这对夫妻被天价悬赏！曾是“黑龙江首富”“东北药王”,3131.0,2.0,0.6387735547748323,最高 奖励 1.1 亿元   这 对 夫妻 被 天价 悬赏 ！ 曾 是 “ 黑龙江 首富 ” “ 东北 药王 ”
珍贵影像！高清修复《义勇军进行曲》首次公开唱响,1199000.0,4167.0,3.4753961634695583,珍贵 影像 ！ 高清 修复 《 义勇军 进行曲 》 首次 公开 唱响
